"Name","Position","Age","Height","Weight","Inf","Club","Division","Nationality","Home-Grown","Personality","Media Handling","Wage","Transfer Value","Asking Price","Preferred Foot","Starts","Minutes Played","Average Rating","Sub Appearances","Minutes/Game","index","Tackles Attempted","Tackles Attempted/90","Tackles Completed","Tackles Completed/90","Tackles Failed","Tackle Completion %","Tackles Failed/90","Key Tackles","Key Tackles/90","Tackle Quality","Interceptions","Interceptions/90","Blocks","Blocks/90","Shots Blocked","Shots Blocked/90","Headers Attempted","Headers Attempted/90","Headers Won","Headers Won/90","Headers Won %","Headers Lost","Headers Lost/90","Headers Lost %","Key Headers","Key Headers/90","Aerial Challenges Attempted/90","Duels Win %","Fouls Against","Fouls Made","Net Fouls","Fouls Won/90","Fouls Committed/90","Clearances","Clearances/90","Red Cards","Yellow Cards","Yellows/Tackle","Reds/Tackle","Yellows/90","Reds/90","Player of the Match","Mistakes Leading to Goal","Sprints/90","Attacking Actions/90","Creative Actions/90","Defensive Actions/90","Goalkeeping Actions/90","Excitement Factor/90","General Performance","Goalkeeping","Defensive Defender","Creative Defender","Attacking Defender","Creative Midfielder","Attacking Midfielder","Creative Winger","Attacking Winger","Creative Forward","Attacking Forward","Finisher","Aerial Threat","Reader","Assister"
"Corentin Tolisso","D (C), DM, M/AM (C)",29,"181 cm","81 kg","-","Lyon","Ligue 1 Uber Eats","FRA (TOG)","-","-","Scouting Required","$99,000 p/w","$550K - $5.6M","-","Right",16,1251,7.02,0,78.19,0,30,2.16,22,1.58,8,73,0.58,2,0.14,3.75,17,1.22,7,0.5,4,0.29,52,3.74,28,2.01,53.85,24,1.73,46.15,4,0.29,3.74,60.98,7,8,1,0.5,0.58,9,0.65,0,0,0,0,0,0,0,0,15.11,1.97,1.73,12.68,0,4.53,89,100,2,80,94,97,96,97,96,98,97,99,5,0,80
"Quinten Timber","D (C), DM, M/AM (C)",22,"177 cm","71 kg","-","Feyenoord","Eredivisie","NED (CUW)","-","Spirited","Evasive, Reserved","$18,250 p/w","$53M - $77M","-","Right",15,1325,7.05,3,73.61,1,31,2.11,28,1.9,3,90,0.2,0,0,4.43,26,1.77,6,0.41,1,0.07,67,4.55,27,1.83,40.3,40,2.72,59.7,2,0.14,4.55,56.12,6,7,1,0.41,0.48,7,0.48,0,1,0.03,0,0.07,0,0,0,12.29,2.02,3.06,9.03,0,5.3,98,100,4,97,99,99,96,98,98,97,98,77,3,3,99
"Benedikt Gimber","D (C), DM, M (C)",26,"187 cm","85 kg","-","FC Heidenheim","Bundesliga","GER","-","-","Scouting Required","$15,500 p/w","$325K - $3.3M","-","Left",18,1468,6.59,0,81.56,2,53,3.25,34,2.08,19,64,1.16,1,0.06,1.56,26,1.59,7,0.43,3,0.18,75,4.6,53,3.25,70.67,22,1.35,29.33,5,0.31,4.6,67.97,2,34,32,0.12,2.08,28,1.72,1,3,0.06,0.02,0.18,0.06,0,0,10.85,1.03,0.55,13.76,0,1.84,71,100,3,49,86,50,46,50,65,66,59,74,12,5,79
"Florian Grillitsch","D (C), DM, M (C)",28,"187 cm","77 kg","-","TSG Hoffenheim","Bundesliga","AUT","-","-","Scouting Required","$45,000 p/w","$9.8M - $15.5M","-","Right",13,1169,6.87,3,73.06,3,36,2.77,20,1.54,16,56,1.23,0,0,3.6,23,1.77,5,0.38,2,0.15,56,4.31,22,1.69,39.29,34,2.62,60.71,4,0.31,4.31,45.65,5,10,5,0.38,0.77,10,0.77,0,0,0,0,0,0,1,1,12.7,1.36,1.23,10.66,0,3,97,100,0,81,97,98,96,92,97,97,98,95,7,2,89
"Dario Van Den Buijs","D (C), DM, M (C)",28,"182 cm","75 kg","-","RKC Waalwijk","Eredivisie","BEL","-","-","Scouting Required","$1,900 p/w","$800K - $1.8M","-","Left",17,1530,6.58,0,90,4,22,1.29,16,0.94,6,73,0.35,6,0.35,3.14,35,2.06,11,0.65,9,0.53,97,5.71,65,3.82,67.01,32,1.88,32.99,10,0.59,5.71,68.07,2,7,5,0.12,0.41,26,1.53,0,3,0.14,0,0.18,0,0,0,3.94,0.12,0,17.18,0,0.29,3,100,47,12,2,12,26,16,11,7,14,29,32,39,35
"Raniele","D (C), DM, M (C)",26,"184 cm","78 kg","-","COR","Campeonato Brasileiro Série A Assaí","BRA","-","-","Scouting Required","$8,250 p/w","$6.2M - $12M","-","Right",13,1199,7.04,9,54.5,5,45,3.38,35,2.63,10,78,0.75,3,0.23,2.14,25,1.88,6,0.45,3,0.23,45,3.38,31,2.33,68.89,14,1.05,31.11,4,0.3,3.38,73.33,9,21,12,0.68,1.58,13,0.98,0,1,0.02,0,0.08,0,1,0,9.38,1.62,2.1,14.98,0,4.58,99,100,24,94,99,98,93,97,96,96,95,78,6,11,95
"Luke O'Nien","D (C), DM, M (C)",29,"177 cm","76 kg","-","Sunderland","Sky Bet Championship","ENG (SGP)","Trained in nation (15-21)","-","Scouting Required","$11,250 p/w","$1.1M - $11M","-","Right",26,2295,6.9,0,88.27,6,31,1.22,25,0.98,6,81,0.24,5,0.2,1.94,53,2.08,27,1.06,19,0.75,168,6.59,99,3.88,58.93,69,2.71,41.07,18,0.71,6.59,62.31,1,16,15,0.04,0.63,36,1.41,0,3,0.1,0,0.12,0,1,0,4.31,0.44,0.2,17.01,0,0.67,11,100,70,32,5,25,48,22,27,21,35,57,45,43,28
"Anthony Briançon","D (C), DM, M (C)",29,"185 cm","79 kg","-","Brest","Ligue 1 Uber Eats","FRA","-","-","Scouting Required","$13,250 p/w","$220K - $2.2M","-","Right",17,1530,6.52,0,90,7,21,1.24,15,0.88,6,71,0.35,4,0.24,2.1,30,1.76,9,0.53,7,0.41,78,4.59,46,2.71,58.97,32,1.88,41.03,6,0.35,4.59,61.62,1,10,9,0.06,0.59,22,1.29,0,3,0.14,0,0.18,0,0,0,4.71,0.2,0,12.41,0,0.65,8,100,16,16,8,4,4,15,2,4,1,4,11,6,0
"Edimilson Fernandes","D (C), DM, M (C)",27,"187 cm","77 kg","-","Mainz 05","Bundesliga","SUI (CPV)","-","Balanced","Media-friendly","$37,000 p/w","$475K - $6.4M","-","Right",18,1620,6.58,0,90,8,32,1.78,25,1.39,7,78,0.39,8,0.44,1.88,36,2,5,0.28,3,0.17,76,4.22,44,2.44,57.89,32,1.78,42.11,8,0.44,4.22,63.89,2,17,15,0.11,0.94,25,1.39,0,1,0.03,0,0.06,0,0,1,4.78,0.21,0.22,15.27,0,0.61,34,100,39,29,19,36,12,46,23,50,22,52,13,20,35
"Krystian Bielik","D (C), DM, M (C)",25,"189 cm","78 kg","-","Birmingham","Sky Bet Championship","POL","Trained in nation (15-21)","-","Scouting Required","$20,000 p/w","$6M - $9.6M","-","Right",21,1846,6.73,0,87.9,9,39,1.9,30,1.46,9,77,0.44,2,0.1,1.95,20,0.98,15,0.73,11,0.54,138,6.73,113,5.51,81.88,25,1.22,18.12,28,1.37,6.73,80.79,3,20,17,0.15,0.98,19,0.93,1,1,0.03,0.03,0.05,0.05,0,2,5.61,0.48,0.15,21.89,0,1.22,26,100,26,8,24,16,25,22,19,15,18,45,84,48,0
